Socket0 STAPM Limit,Socket0 STAPM Power,Socket0 PPT Fast Limit,Socket0 PPT Slow Limit,Gfx Effective Frequency,Socket0 VDDCR Soc Power,Socket0 VDDCR Soc Temperature,Socket0 Socket Power,Thread0 Core Effective Frequency,Thread1 Core Effective Frequency,Thread2 Core Effective Frequency,Thread3 Core Effective Frequency,Thread4 Core Effective Frequency,Thread5 Core Effective Frequency,Thread6 Core Effective Frequency,Thread7 Core Effective Frequency,Socket0 Package Power,Socket0 Temperature,
32,12.9222,36,34,175.466,3.44015,61.125,24.3456,2785.79,2985.07,2549.07,2519.14,3364.99,3377.01,2779.91,2771.18,10.8853,61.875,36000,
15,12.9233,20,16,148.221,3.40101,59.1903,13.8906,2363.71,2483.01,2261.76,2283.72,2297.47,2471.88,2621.1,3075.79,6.19949,61.75,
15,5.0923,27,22,204.339,3.52859,57.7273,15.9123,1640.89,1682.47,2915.66,2316.89,2458.17,2042.84,2494.38,2597.2,6.99615,61.625,42000,
15,0.00525874,27,22,109.175,3.38358,58.6269,19.9314,2423.52,2426.71,2553.54,2533.08,2726.66,2616.24,2775.33,2972.15,8.8974,61.5,
15,0.00331336,31.5,26.5,181.708,3.34288,57.8523,14.9869,1950.15,1962.39,2482.47,2246.56,2557.76,2164.38,2946.47,3251.38,6.58905,61.375,46500,
15,0.00556983,34.875,29.875,151.716,3.46373,58.1791,19.6473,2039.33,2221.39,3073.23,3314.17,1879.76,2099.56,3118.78,3012.89,8.76999,61.375,
15,0.00295439,34.875,29.875,172.904,3.32519,57.5227,14.3509,2213.78,2215.08,3476.47,3383.84,1903.36,2024.09,2231.16,2362.7,6.3092,61.375,49875,
15,0.00415516,37.406,32.406,218.117,3.37448,57.1828,16.1215,2623.56,2659.61,3088.95,2910.16,2732.67,2777.58,2739.38,2574.72,7.1962,61.25,52406,
15,0.00491423,37.406,32.406,173.925,3.58221,57.9291,22.9713,1895.31,1925.54,3349.08,3427.58,2754.46,2771.68,2879.63,2728.59,10.0865,61.25,
15,0.0041677,39.304,34.304,192.235,3.50206,58.4924,19.8302,2075.8,2279.17,2806.56,2707.03,3230.38,3275.15,3185.78,2958.41,8.89038,61.25,54304,
15,0.00573601,39.304,34.304,200.154,3.40797,59.0746,20.6933,3217.64,3023.96,3107.35,2984.37,2288.43,2158.94,2341.42,2440.04,9.05685,61.25,
15,0.00353435,40.728,35.728,247.529,3.54274,59.2424,20.59,2602.01,3232.09,3460.68,3550.04,1905.6,1967.76,2419.87,2502.24,9.23615,61.375,55728,
15,0.00700097,41.796,36.796,206.312,3.88537,60.25,29.6932,3102.43,3148.36,3256.35,3320.4,2450.05,2651.89,3295.21,3364.77,13.2578,61.625,56796,
