Socket0 STAPM Limit,Socket0 STAPM Power,Socket0 PPT Fast Limit,Socket0 PPT Slow Limit,Gfx Effective Frequency,Socket0 VDDCR Soc Power,Socket0 VDDCR Soc Temperature,Socket0 Socket Power,Thread0 Core Effective Frequency,Thread1 Core Effective Frequency,Thread2 Core Effective Frequency,Thread3 Core Effective Frequency,Thread4 Core Effective Frequency,Thread5 Core Effective Frequency,Thread6 Core Effective Frequency,Thread7 Core Effective Frequency,Socket0 Package Power,Core0 Power,Core1 Power,Core2 Power,Core3 Power,Socket0 Temperature,
28,18.0537,32,30,184.645,4.7539,73.9356,27.8329,3109.99,3069.02,3242.07,3329.14,3151.99,3292.03,3108.66,3101.86,12.2412,1.75278,1.99387,1.75781,1.69067,73.375,
28,18.0562,32,30,199.229,4.84362,74.6381,31.5178,2863.63,2845.56,3436.54,3446.52,2804.24,2797.66,2823.39,2829.56,14.073,2.1785,2.43301,1.98074,2.04987,73.5,
28,18.0587,32,30,180.652,4.69409,73.8598,26.7559,2992.11,3027.16,3340.78,3327.51,3079.81,2930.7,3195.13,3236.67,11.7679,1.54861,1.98486,1.51047,1.93207,73.625,
28,18.0603,32,30,168.515,4.67937,73.097,27.0138,2963,2865.37,3351.04,3392.37,3243.57,3294.39,3145.17,3160.56,12.0615,1.33179,2.0639,1.65527,1.79718,73.75,
28,18.0631,32,30,204.006,4.8137,74.6705,31.5713,2732.33,2801.4,3474.05,3474.9,2836.85,2808.26,2855.91,2824.05,13.8869,2.02515,2.36603,2.06329,2.09885,74,
28,18.066,32,30,159.559,4.79185,75.0634,33.6422,2717.96,2772.83,3464.61,3437.18,2852.5,2790.29,2837.8,2757.04,15.0209,1.98761,2.90588,2.46841,2.1019,83.25,
28,18.0691,32,30,194.327,4.75389,74.6932,30.4464,2688.19,2656.24,3488.53,3490.35,2580.2,2659.6,2693.42,2769.88,13.391,1.72913,2.27112,1.60843,2.12219,83.125,
28,18.072,32,30,193.236,4.89361,75.2948,32.5886,2869.93,2957.12,3155.28,3048.2,2859.63,2900.47,3348.42,3379.49,14.5509,2.30148,2.15393,1.91574,2.45499,83,
28,18.0749,32,30,203.642,4.85255,74.9888,29.7617,2710.49,2812,3340.2,3341.9,2934.69,2915.74,3036.05,3153.19,13.0656,1.67343,2.28378,1.90628,2.10495,82.875,
28,18.0776,32,30,195.979,4.83001,75.0795,30.921,2814,2938.37,3353.19,3366.38,2838.17,2875.14,3208.67,3210.59,13.8232,1.88644,2.50916,1.77032,2.37137,82.625,
28,18.0802,32,30,188.529,4.90432,75.0933,30.0569,3001.63,2997.08,3335.42,3285.65,3037.92,3103.25,3340.27,3339.9,13.4207,1.79382,2.25647,1.89758,2.39243,82.5,
28,18.0828,32,30,204.686,4.73577,74.6174,28.2992,2882.71,2907.36,3258.63,3266.74,2920.8,2771.29,3233.78,3268.15,12.4463,1.55914,2.10052,1.4357,1.94473,82.375,
28,18.0852,32,30,203.242,4.84541,75.3022,30.6277,2997.95,3030.87,3157.71,3139.36,2959.15,2979.01,3247.6,3238.13,13.6752,1.98761,2.32452,2.05154,1.90201,82.25,
28,18.0875,32,30,192.431,4.81733,75.0871,28.7439,2986.69,3083.95,3375.29,3394.63,2887.95,2835.36,2750.48,2762.94,12.6428,1.86615,2.42111,1.67053,1.52954,82,
28,18.0895,32,30,214.14,4.64902,74.291,20.2282,2045.56,2151.36,2472.14,2517.78,2095.61,1974.77,2196.78,2031.96,9.02985,1.00479,1.24039,0.914001,1.13358,81.875,
28,18.0886,32,30,199.827,4.55453,72.1326,11.8712,1027.18,1215.2,1142.39,1205.64,987.608,1201.4,1094.32,1109.75,5.2182,0.286407,0.29129,0.300598,0.285645,81.75,
28,18.0869,32,30,191.541,4.2741,70.8358,10.184,399.989,399.99,399.984,399.999,399.993,399.991,399.994,399.989,4.54346,0.171509,0.166168,0.171509,0.167236,81.625,
