Socket0 STAPM Limit,Socket0 STAPM Power,Socket0 PPT Fast Limit,Socket0 PPT Slow Limit,Gfx Effective Frequency,Socket0 VDDCR Soc Power,Socket0 VDDCR Soc Temperature,Socket0 Socket Power,Thread0 Core Effective Frequency,Thread1 Core Effective Frequency,Thread2 Core Effective Frequency,Thread3 Core Effective Frequency,Thread4 Core Effective Frequency,Thread5 Core Effective Frequency,Thread6 Core Effective Frequency,Thread7 Core Effective Frequency,Socket0 Package Power,Core0 Power,Core1 Power,Core2 Power,Core3 Power,Socket0 Temperature,
28,9.52226,28,28,121.23,4.40621,63.3731,23.8317,3257.37,3092.12,2828.38,2861.59,2019.2,2083.53,2412.09,2396.64,10.6395,2.18079,1.39755,0.648193,1.13205,66.125,
28,9.52571,28,28,234.343,4.35444,62.9963,25.2747,2560.08,2500.78,3351.95,3085.24,2587.87,2562.5,2453.23,2500.43,11.1168,0.939331,1.75217,1.68289,1.21124,66.125,
28,9.52907,28,28,234.58,4.0525,63.3977,25.1795,2577.08,2503.01,3444.04,3499.31,2520.07,2537.94,2443.97,2579.1,11.2416,1.34415,2.23343,1.37939,0.986176,66.125,
28,9.53281,28,28,127.19,4.09914,63.9627,27.1121,2626.12,2647.82,3485.09,3490.63,2612.42,2714.83,2876.45,2852.99,11.9475,1.47964,2.03354,1.45752,2.10526,66.25,
28,9.53607,28,28,182.687,3.99269,63.7955,19.245,2614.01,2663.41,2936.54,2769.96,2560.33,2629.05,2776.35,3024,8.62015,1.19659,0.95932,0.843353,1.02875,66.375,
28,9.53774,28,28,163.593,4.05093,63.0784,16.7396,2810.02,2805.82,2335.45,2453.69,2243.68,2233.15,2187.81,2223.21,7.47162,1.26389,0.868225,0.634308,0.478821,66.125,
28,9.53928,28,28,162.416,3.95826,61.7614,15.9487,2399.9,2392.75,2867.75,2826.45,2324.39,2301.61,2204.57,2237.06,7.01279,0.370636,1.17584,0.783997,0.274048,66,
28,9.54132,28,28,159.571,4.14912,62.2948,23.0631,2593.41,2647.87,3031.62,3023.41,2841.66,3280.49,2661.27,2622.39,10.2963,0.975494,1.51672,1.51215,1.04431,65.875,
28,9.54488,28,28,203.738,4.07787,62.7917,25.4838,2526.13,2454.77,3381.65,3281.3,2824.48,3010.91,2616.97,2617.81,11.208,0.830536,1.87149,1.64581,1.50116,65.875,
28,9.54855,28,28,178.027,4.42585,63.8358,26.2025,2497.58,2548.09,2641.15,2734.4,3348.68,3443.76,2534.43,2553.65,11.6992,1.27625,1.6217,2.00058,1.38809,66,
28,9.5522,28,28,209.639,4.34248,64.0947,27.346,2443.07,2546.08,3535.77,3540.89,2518.2,2634.94,2538.45,2581.75,12.0276,1.09833,2.44553,1.42181,1.22559,66.125,
