Socket0 STAPM Limit,Socket0 STAPM Power,Socket0 PPT Fast Limit,Socket0 PPT Slow Limit,Gfx Effective Frequency,Socket0 VDDCR Soc Power,Socket0 VDDCR Soc Temperature,Socket0 Socket Power,Thread0 Core Effective Frequency,Thread1 Core Effective Frequency,Thread2 Core Effective Frequency,Thread3 Core Effective Frequency,Thread4 Core Effective Frequency,Thread5 Core Effective Frequency,Thread6 Core Effective Frequency,Thread7 Core Effective Frequency,Socket0 Package Power,Core0 Power,Core1 Power,Core2 Power,Core3 Power,Socket0 Temperature,
28,9.37783,28,28,242.234,2.99156,66.9142,19.8601,2238.65,2282.83,3488.65,3479.64,2405.36,2338.99,2402.08,2304.83,8.71353,0.394745,2.0668,0.74585,0.562134,70,
28,9.38079,28,28,203.903,3.41539,66.9773,25.5937,2540.64,2247.98,3506.87,3516.37,2613.29,2218.08,2512.47,2735.28,11.4084,1.16257,2.37564,1.06247,1.47202,70,
28,9.38409,28,28,77.5397,3.00201,68.0896,22.4955,2650.06,2569.04,3108.81,3008.93,2275.51,2190.77,2943.29,2987.1,10.0423,1.42548,1.08505,0.332489,2.03247,70.125,
28,9.38667,28,28,33.2305,3.01566,67.3106,21.2211,2387.83,2545.03,2599.87,2450.15,2045.22,2068.48,3622.44,3627.95,9.33228,0.341187,0.641785,0.206604,3.33099,70.25,
28,9.38931,28,28,159.345,3.05428,66.6269,19.3092,1920.84,1879.08,2399.61,2037.78,1760.07,1719.28,3564.52,3272.25,8.61984,0.164795,0.954132,0.107727,1.97479,70.375,
28,9.39171,28,28,240.858,3.19961,66.2197,22.1765,2108.44,1982.34,3427.9,3428.71,1938.83,1878.48,2496.43,2421.2,9.7525,1.00037,2.23602,0.445099,0.91568,70.375,
28,9.39449,28,28,155.03,3.13269,66.0373,20.6671,1943.23,1922.37,3433.31,2790.05,2273.43,1868.26,2659.8,2687.8,9.22562,0.372772,1.80222,1.06934,1.16608,70.375,
28,9.39666,28,28,301.951,3.07757,65.9545,18.7837,2179.35,2060.8,2237.46,1947.57,3106.5,3065.48,2698.72,2693.39,8.26004,0.584106,0.440216,1.24374,0.710602,70.375,
28,9.39929,28,28,273.74,3.51774,67.4739,25.3028,2631.22,2542.09,2496.35,2490.21,3263.77,3378.71,2659.14,2632.97,11.2971,1.65375,1.28555,1.57639,1.37711,70.25,
28,9.40242,28,28,179.565,3.36764,67.2652,20.5082,2570.85,2562.45,3391.89,3372.38,2417.29,2364.33,2543.67,2481.71,9.01855,1.12885,2.0047,0.482635,0.918732,70.25,
