Socket0 STAPM Limit,Socket0 STAPM Power,Socket0 PPT Fast Limit,Socket0 PPT Slow Limit,Gfx Effective Frequency,Socket0 VDDCR Soc Power,Socket0 VDDCR Soc Temperature,Socket0 Socket Power,Thread0 Core Effective Frequency,Thread1 Core Effective Frequency,Thread2 Core Effective Frequency,Thread3 Core Effective Frequency,Thread4 Core Effective Frequency,Thread5 Core Effective Frequency,Thread6 Core Effective Frequency,Thread7 Core Effective Frequency,Socket0 Package Power,Core0 Power,Core1 Power,Core2 Power,Core3 Power,Socket0 Temperature,
15,10.7022,35,30,188.68,3.9945,54.0492,20.5719,2144.3,2391.07,3099.87,2891.36,3185.45,3288.4,2930.51,2591.05,9.04678,0.409393,1.30356,1.49582,1.23688,55.375,
15,10.7061,35,30,148.046,3.8767,54.2121,17.2423,2017.53,2014.36,2221.64,2000.91,3353.23,3188.51,2355.27,2234.09,7.58179,0.377655,0.478363,1.49918,0.459137,55.75,
15,10.7078,35,30,150.169,3.56354,54.6828,18.2625,3004.83,2874.39,3043.68,3027.97,2179.87,2068.02,2389.34,2166.34,8.15186,1.41159,1.16501,0.323181,0.523224,55.75,
15,10.7087,35,30,343.082,3.47605,52.3769,12.414,2724.74,2686.23,2836.86,2707.28,2887.31,2860.27,2795.27,2694.08,5.54001,0.172272,0.382843,0.656128,0.232544,55.5,
15,10.7098,35,30,265.363,3.64209,53.347,18.5371,2261.55,2356.79,2433.42,2477.73,2946.68,2961.56,2594.49,2732.89,8.12057,0.661469,0.886993,0.955353,1.2645,55.5,
15,10.7142,35,30,202.582,3.80456,54.3657,20.0464,2693.27,2581.36,2677.41,2867.42,2665.86,2542.12,3115.28,3115.53,8.83209,0.816803,1.06064,0.818481,1.56464,55.75,
15,10.7196,35,30,199.54,4.31516,56.3209,23.8534,3004.87,2999.94,3147.18,3109.35,3026.55,2996.34,3062.44,3099.84,10.649,1.29959,1.65817,1.41556,1.52725,56,
15,10.7253,35,30,202.729,3.96166,56.6642,20.5551,2942.24,2961.29,2920.1,3146.95,2994.02,3086.91,2938.26,2747.78,9.17633,1.07849,1.16852,1.18057,1.06903,56.375,
15,10.7269,35,30,221.293,3.8622,55.2614,16.7679,2938.37,2817.76,2709.75,2939.73,2845.44,2575.81,2218.94,2236.45,7.37274,0.836639,0.802307,1.06384,0.343475,56.5,
15,10.7294,35,30,294.3,3.35538,53.9167,13.6981,2163.05,2206.93,3182.82,3351.6,2306.01,2231.27,2329.62,2293.68,6.02173,0.231171,0.791321,0.169525,0.24704,56.5,
15,10.73,35,30,330.802,3.44948,53.2388,13.9477,2041.56,2182.79,2699.88,2541.05,2161.52,2152.34,2928.41,2738.22,6.22513,0.122223,0.307312,0.157776,0.905151,56.375,
15,10.7317,35,30,316.827,3.18326,53.2689,13.8231,2118.68,1893.86,2009.7,1960.52,2089.87,2103.17,3207.47,2995.59,6.19797,0.265198,0.222168,0.525513,0.505524,56.25,
15,10.7315,35,30,314.867,3.03854,51.9254,10.9016,2606.74,2595.21,2691.33,2878.69,2646.49,2554.94,2659.45,2648.92,4.77295,0.0541687,0.543671,0.0590515,0.0872803,56,
15,10.732,35,30,399.37,3.40464,51.9627,12.377,2682.29,2539.99,2837.53,2889.97,2703.68,2724.58,2734.38,2694.63,5.52399,0.0944519,0.674744,0.124969,0.141296,55.75,
15,10.7325,35,30,367.501,3.24987,52.1903,11.0122,2768.19,2271.7,2397.19,2421.3,2745.91,2703.24,2516.12,2436.22,4.91379,0.469513,0.0592041,0.121765,0.0430298,55.5,
15,10.733,35,30,376.913,3.48522,52.428,13.2521,2856.77,2882.45,2455.41,2400.9,2370.21,2469.19,2495.62,2592.04,5.82581,0.342255,0.268097,0.221252,0.709686,55.375,
15,10.7331,35,30,399.605,3.20857,51.6477,12.2785,2697.93,2658.6,2781.53,2872.4,2596.99,2628.68,2730.62,2718.21,5.39795,0.147552,0.453644,0.0595093,0.132751,55.125,
15,10.7333,35,30,399.779,3.26458,51.5672,11.6533,2654.54,2841.52,2782.98,2767.13,2676.11,2678.38,2876,2811.11,5.20035,0.174713,0.175629,0.0634766,0.60318,54.875,
15,10.7332,35,30,399.502,2.954,51.2197,10.1702,2692.56,2392.1,2655.77,2549.22,2803.65,2456.59,2463.82,2507.15,4.58969,0.0724792,0.0605774,0.353088,0.0186157,54.75,
15,10.7336,35,30,329.911,3.51533,52.347,16.4322,3052.42,2989.5,2600.44,2512.4,2492.29,2609.85,2664.73,2620.63,7.24548,1.18851,0.563202,0.458679,0.873871,54.625,
