Socket0 STAPM Limit,Socket0 STAPM Power,Socket0 PPT Fast Limit,Socket0 PPT Slow Limit,Gfx Effective Frequency,Socket0 VDDCR Soc Power,Socket0 VDDCR Soc Temperature,Socket0 Socket Power,Thread0 Core Effective Frequency,Thread1 Core Effective Frequency,Thread2 Core Effective Frequency,Thread3 Core Effective Frequency,Thread4 Core Effective Frequency,Thread5 Core Effective Frequency,Thread6 Core Effective Frequency,Thread7 Core Effective Frequency,Socket0 Package Power,Core0 Power,Core1 Power,Core2 Power,Core3 Power,Socket0 Temperature,
15,11.9704,32,30,212.478,3.72083,61.4167,20.7502,2586.25,3001.45,3297.81,3256,2846.53,2809.28,2312.62,2449.52,9.12537,0.806427,1.78268,1.13617,0.478821,65.25,
15,11.9726,32,30,230.214,4.14555,61.3993,22.2372,2913.27,2537.65,3188.99,3034.13,3185.4,3066.14,2741.97,2608.93,9.92752,1.32355,1.38565,1.20773,0.957794,65.25,
15,11.9748,32,30,181.044,4.17412,62.0299,23.7616,2976.94,2501.06,3175.28,2949.79,3102.48,3303.07,2308.77,2255.86,10.6087,0.986481,1.84555,2.12799,0.485535,65.25,
15,11.9773,32,30,193.208,3.93288,61.3485,23.318,2441.04,2228.62,3542.8,3507.44,2799.97,2887.55,2264.05,2315.22,10.2545,0.54657,2.54059,1.27823,0.489197,65.375,
15,11.9797,32,30,225.471,3.79563,61.3433,20.2465,1925.69,1923.97,2449.73,3433.19,3297.65,3131.26,2056.07,2019.5,9.0387,0.184021,1.24084,1.85165,0.241241,65.375,
15,11.9817,32,30,230.744,3.85133,61.8636,23.5351,2310.58,2235.22,3202.68,3210.49,2570.48,2546.55,2750.84,2684.04,10.3503,1.31851,1.72821,0.93277,1.51215,65.375,
15,11.9842,32,30,216.838,3.8724,61.7313,22.9786,2398.93,2599.01,3164.46,3245.99,2773.53,3136.43,2909.36,2880.41,10.2591,0.763245,1.68533,1.41174,1.18164,65.375,
15,11.9868,32,30,216.163,3.89301,61.9886,22.8858,2458.63,2905.97,3134.67,2896.01,3156.1,3015.2,2697,2642.11,10.065,0.914307,1.63559,1.5181,0.962982,65.375,
15,11.9891,32,30,214.645,3.99559,62.6194,24.9697,3233.27,3288.1,3118.38,3219.42,3018.55,3127.72,2758.04,2776.64,11.1479,1.92001,1.74393,1.73569,0.908813,65.375,
15,11.9922,32,30,169.333,3.94919,62.9205,23.5241,2953.42,3188.38,3286.53,3332.88,2929,2960.87,3112.08,3012.09,10.3458,1.2886,1.70868,1.13876,1.40869,65.375,
15,11.9953,32,30,173.025,4.59189,63.4104,31.0614,2918.09,2932.81,3344.01,3400.45,2848.11,2864.1,2874.26,2847.73,13.8693,1.85867,2.35413,2.16888,2.00867,65.375,
15,11.9996,32,30,215.734,4.61434,64.5568,29.4112,2911.48,2937.6,3460.21,3407.08,2923.26,2875.79,2872.81,2930.07,12.9356,1.89148,2.18719,1.7926,1.88416,65.625,
15,12.0031,32,30,204.06,4.19019,64.3358,26.175,3139.47,3282.27,3095.91,3073.16,3072.16,3262.06,3189.2,3284.83,11.6867,1.57806,1.68076,1.95053,1.65375,65.75,
15,12.0053,32,30,252.334,3.84589,62.6515,18.6647,2681.99,2410.23,2549.86,2524.01,3010.41,3082,2620.83,2986.23,8.20755,0.671692,0.814667,0.918732,0.905609,65.75,
15,12.0065,32,30,317.779,3.53934,61.444,14.4487,2416.77,2322.23,2411.87,2324.08,3437.17,3165.56,2288.65,2347.16,6.44791,0.137939,0.261841,1.12732,0.214233,65.625,
15,12.0067,32,30,393.715,3.56497,59.9318,13.8029,2646.54,2622.95,2699.98,2654.31,2998.06,2939.71,2644.17,2687.75,6.06842,0.10437,0.205688,0.855255,0.125427,65.375,
15,12.0068,32,30,377.017,3.56969,58.8246,10.6829,2472.9,2525.61,2639.89,2710.88,2776.76,2881.35,2617.04,2428.47,4.76685,0.0897217,0.140839,0.154877,0.102692,65.25,
15,12.0067,32,30,377.305,3.31555,58.4888,11.3625,2629.8,2597.31,2720.58,2889.42,2591.6,2708.09,2650.69,2619.91,4.99207,0.0938416,0.55069,0.0997925,0.0782776,65.125,
15,12.0064,32,30,355.754,3.32381,57.8561,12.3401,2707.33,2629.18,2794.64,2724.9,2846.3,2716.03,2788.91,2592.05,5.50354,0.151672,0.215302,0.566406,0.184174,65,
15,12.0063,32,30,378.873,3.00506,57.7724,9.45446,2633.13,2605.05,2790.9,2611.22,2725.56,2740.81,2583.51,2618.81,4.14932,0.105591,0.112152,0.120239,0.0888062,64.75,
15,12.006,32,30,379.385,3.35853,57.4091,11.9078,2490.99,2587.71,2740.22,2628.38,2884.47,2810.44,2664.51,2446.47,5.30289,0.0379944,0.105896,0.608826,0.0454712,64.625,
28,12.0059,32,30,367.951,3.39988,57.3358,11.8489,2605.87,2667.49,2772.95,2871.6,2832.49,2832.31,2602.01,2506.25,5.28732,0.0965881,0.612793,0.296631,0.0627136,64.5,
28,12.0056,32,30,359.007,3.11568,57.0568,9.05741,2503.58,2568.58,2766.35,2616.5,2783.72,2783.03,2552.78,2615.14,3.98041,0.0234985,0.108185,0.148926,0.0369263,64.375,
28,12.0056,32,30,391.936,3.79563,57.4851,13.6896,2657.96,2772.53,2777.5,2710.38,2896.29,2895.25,2688.51,2591.48,6.10977,0.166168,0.286407,0.790558,0.107117,64.25,
28,12.0054,32,30,376.728,3.13529,57.1136,10.5781,2480.47,2623.61,2706.28,2776.62,2845.46,2603.5,2623.89,2602.69,4.64951,0.025177,0.157928,0.485687,0.0405884,64,
28,12.0055,32,30,363.288,3.41,57.5224,12.6893,2689.93,2543.37,2612.44,2662.37,2954.9,3179.55,2615.73,2728.75,5.66284,0.141602,0.11322,0.762177,0.142212,63.875,
28,12.0055,32,30,326.846,3.25324,57.1932,11.7682,2516.19,2353.85,2696.04,2426.24,3030.29,2910.4,2476.2,2447.63,5.17395,0.0274658,0.122681,0.701294,0.0231934,63.75,
28,12.0052,32,30,374.55,3.13237,56.9701,11.0231,2614.05,2696.57,2744.44,2585.5,2840.52,2849.33,2553.42,2712.72,4.91867,0.0486755,0.126038,0.545349,0.0552368,63.625,
28,12.005,32,30,377.896,3.06334,56.7649,9.73184,2322.05,2372.79,2688.02,2330.25,2998.26,2850.7,2735.73,2486.3,4.27521,0.00595093,0.11734,0.295105,0.0767517,63.5,
28,12.0048,32,30,389.907,3.54721,56.8864,12.3532,2616.09,2670.18,2719.49,2763.11,2891.51,2873.24,2692.34,2667.88,5.49698,0.055542,0.246429,0.745087,0.132904,63.25,
28,12.0044,32,30,352.298,2.92124,56.3694,9.1669,2456.61,2605.91,2747.73,2734.11,2818.15,2583.62,2611.89,2666.7,4.01276,0.0160217,0.111389,0.256042,0.0308228,63.125,
28,12.0043,32,30,399.363,3.43195,56.9659,12.4966,2568.16,2584.61,2722.96,2623.24,2871.28,2885.55,2732.93,2795.02,5.57037,0.0559998,0.202637,0.61554,0.194244,63,
28,12.004,32,30,350.011,3.05611,56.4142,10.5161,2583.02,2582.22,2746.05,2516.54,2856.35,2728.25,2629.79,2544.71,4.69193,0.0332642,0.105286,0.561981,0.0111389,62.875,
28,12.0037,32,30,358.547,3.14409,56.4811,10.8935,2633.65,2617.95,2722.73,2772.23,2807.6,2731.06,2856.63,2787.48,4.78745,0.0531006,0.209198,0.254364,0.342865,62.625,
28,12.0038,32,30,392.706,3.245,57.2201,12.1977,2849.43,2841.05,2583.79,2833.85,2526.25,2476.42,2610.07,2568.45,5.44296,0.395813,0.49942,0.0691223,0.0921631,62.5,
28,12.0036,32,30,374.18,3.14962,56.6023,11.2492,2689.71,2730.23,2827.21,2879.23,2750.82,2702.75,2774.99,2698.29,4.94492,0.0845337,0.672455,0.134125,0.125732,62.375,
