
Socket0 STAPM Limit,Socket0 STAPM Power,Socket0 PPT Fast Limit,Socket0 PPT Slow Limit,Gfx Effective Frequency,Socket0 VDDCR Soc Power,Socket0 VDDCR Soc Temperature,Socket0 Socket Power,Thread0 Core Effective Frequency,Thread1 Core Effective Frequency,Thread2 Core Effective Frequency,Thread3 Core Effective Frequency,Thread4 Core Effective Frequency,Thread5 Core Effective Frequency,Thread6 Core Effective Frequency,Thread7 Core Effective Frequency,Socket0 Package Power,Core0 Power,Core1 Power,Core2 Power,Core3 Power,Socket0 Temperature,
25,10.0832,35,30,156.925,3.52691,53.0795,18.1109,1889.01,2067.49,3017.56,3271.68,2891.58,2918.1,2115.74,2297.59,7.96371,0.55069,1.04706,1.52267,0.372314,55.875,
25,10.0876,35,30,174.18,3.9347,53.9318,20.666,2661.74,2530.27,3166.45,3256.96,3091.43,3195.16,2864.73,2207.64,9.08829,0.684052,1.27747,1.18423,0.986481,56,
25,10.0912,35,30,199.982,3.5994,53.4015,18.6828,2010.93,1933.08,3101.32,3271.02,2057.24,2224.9,2720.53,2902.39,8.34137,0.447693,1.2619,0.838776,0.961151,56.125,
25,10.0933,35,30,153.975,3.6653,53.8582,20.8545,2343.99,2355.8,2554.16,3101.65,2946.03,2761.07,3185.31,3100.69,9.31,0.580444,1.06995,1.4061,1.47415,56.125,
25,10.0973,35,30,204.857,3.5796,53.9963,19.4634,2322.89,2154.32,2931.39,2976.36,3043.1,2867.29,2687.93,2703.01,8.68881,0.853882,1.194,1.08643,0.780334,56.125,
25,10.0993,35,30,191.615,3.61209,54.6023,21.0545,2842.93,2786.31,2754.87,2955,2684.98,2941.97,3017.88,2859.36,9.25919,1.21918,0.999451,1.14441,1.22696,56.125,
25,10.1056,35,30,201.025,4.40954,56.1818,23.4778,2819.87,2933.87,3203.19,3192.23,3069.29,3096.64,3149.91,3185.1,10.3255,1.10046,1.51138,1.34796,1.64291,56.5,
25,10.1092,35,30,209.417,3.25646,53.7948,13.3725,1802.96,1787.36,2126.79,2196.58,2837.14,2772.52,3022.62,3219.86,5.91293,0.0846863,0.2948,0.698395,0.683289,56.5,
25,10.1097,35,30,359.872,3.23874,53.1099,12.5148,2663.78,2460.8,2414.13,2353.75,2459.38,2394.32,2573.79,2700.29,5.55634,0.637665,0.151062,0.144501,0.149231,56.25,
25,10.1101,35,30,378.425,3.40331,51.7015,13.2372,2574.71,2432.46,3040.51,2909.68,2620.79,2420.91,2616.15,2493.97,5.88379,0.203857,0.869293,0.221558,0.168915,56,
25,10.1105,35,30,366.115,3.27856,51.2955,11.4985,2545.54,2548.04,2739.04,2604.01,2854.84,2778.87,2679.77,2462.46,5.15488,0.0335693,0.0917053,0.59021,0.0634766,55.875,
25,10.1108,35,30,376.921,2.99517,51.0909,10.8184,2644.49,2727.22,2592.99,2494.53,2894.26,2856.73,2704.88,2608.69,4.8041,0.0634524,0.027496,0.618812,0.094121,55.5,
25,10.1108,35,30,184.442,2.91031,50.6903,10.8912,2646.88,2747.86,2807.59,2891.77,2773.55,2787.37,2697.02,2685.09,4.90901,0.0937105,0.626073,0.139333,0.0867747,55.375,
25,10.1112,35,30,396.883,3.30109,51.1418,13.5012,2825.36,2742.01,2792.8,2730.66,2887.15,2842.29,2872.3,2851.65,5.96573,0.333729,0.218155,0.661718,0.421203,55,
25,10.112,35,30,247.361,3.36379,52.1326,14.2773,3198.16,3227.58,2031.12,2058.26,2086.69,2112.34,2073.99,2068.44,6.34103,1.30748,0.274658,0.125769,0.174782,55,
25,10.1139,35,30,329.177,3.7009,51.9886,13.9115,2528.77,3169.48,2587.22,2386.93,2019.79,2000.59,2067.12,2048.9,6.11557,0.221863,0.917358,0.0895691,0.0917053,54.875,
25,10.1148,35,30,289.303,3.27194,51.5037,11.7639,2495.34,2516.29,2706.72,2911.03,2457.18,2526.96,2718.75,2663.46,5.15579,0.0631714,0.385132,0.175323,0.327759,54.5,
25,10.1154,35,30,340.908,3.73738,51.3977,13.8994,2723.46,2732.99,2726.8,2654.48,2869.05,2812.31,2751.28,2773.97,6.20407,0.156403,0.129395,0.683594,0.19577,54.5,
25,10.1162,35,30,377.039,3.23974,51.0606,11.3634,2706.54,2594.71,2877.58,2891.49,2696.86,2699.98,2641.23,2647.4,5.10818,0.096283,0.519409,0.148773,0.0682068,54.25,
25,10.1166,35,30,377.45,3.33184,51.1343,12.1449,2660.51,2714.9,2787.42,2692.97,2856.97,2732.84,2681.7,2598.32,5.41992,0.0782776,0.317383,0.640259,0.100098,54.125,
25,10.1173,35,30,353.217,3.52267,51.0858,11.81,2308.62,2403.73,2967.79,2901.33,2335.61,2379.96,2405.83,2363.49,5.27008,0.0396729,0.6604,0.0320435,0.0770569,54,
25,10.1176,35,30,242.53,3.50353,50.8902,12.5148,2464.36,2551.98,3004.16,2971.65,2498.91,2422.07,2543.38,2479.25,5.50156,0.164795,0.800323,0.0973511,0.15213,53.875,
25,10.1184,35,30,361.333,3.22679,51.2045,12.0053,2730.36,2607.72,2676.88,2608.8,2868.55,2812.8,2609.88,2638.23,5.2774,0.135956,0.0978088,0.545959,0.0602722,53.75,
25,10.1189,35,30,291.446,3.24006,50.7197,10.6051,2682.19,2483.53,2768.94,2789.48,2633.87,2654.8,2520.31,2718.94,4.66064,0.0987244,0.201569,0.122375,0.0900269,53.5,
25,10.1195,35,30,399.644,3.40821,51.3694,12.8176,2771.84,2817.68,2769.02,2817.98,2870.4,2857.94,2746.33,2784.45,5.72021,0.249786,0.234985,0.660553,0.205841,53.5,
25,10.12,35,30,291.641,3.25267,50.7349,11.2055,2683.34,2729.16,2850.23,2891.02,2606.26,2600.67,2672.21,2634.31,5.0032,0.126038,0.413361,0.0761414,0.103607,53.25,
25,10.1203,35,30,334.978,3.3872,50.903,12.4094,2690.77,2709.09,2880.31,2894.59,2765.34,2738.36,2729.83,2713.66,5.53787,0.121918,0.759125,0.239105,0.137024,53.25,
25,10.1209,35,30,354.326,3.38679,50.847,12.6201,2607.06,2648.97,2849.21,2695.79,2861.23,2786.14,2837.88,2704.36,5.63202,0.0592041,0.585327,0.463867,0.300293,53.125,
25,10.1214,35,30,362.216,3.28405,50.9318,11.2768,2638.67,2583.37,2834.21,2755.05,2870.15,2820.87,2672.45,2641.57,4.95682,0.0473022,0.26474,0.583344,0.0543213,53.125,
25,10.1215,35,30,354.458,3.144,50.5682,10.7096,2650.42,2748.68,2835.62,2894.93,2747.44,2506.47,2488.25,2678.44,4.70764,0.0289917,0.509186,0.065155,0.0289917,53,
25,10.1215,35,30,271.82,3.10027,50.1866,10.7186,2731.92,2531.73,2805.98,2882.2,2717.34,2456.15,2683.67,2612.86,4.78226,0.0720215,0.620422,0.0708008,0.0810242,52.875,
25,10.1219,35,30,359.121,3.37203,50.0448,10.5282,2664.59,2385.27,2842.05,2896.58,2595.94,2477.73,2474.9,2367.76,4.69803,0.0350952,0.591583,0.0233459,0.00839233,52.75,
25,10.1219,35,30,314.695,3.14642,50.6194,11.5075,2821.5,2560.08,2753.65,2608.67,2643.7,2721.09,2670.68,2556.25,5.09018,0.553741,0.160828,0.106659,0.0584412,52.625,
25,10.1227,35,30,355.493,3.35968,50.8507,12.6241,2722.04,2751.64,2847.17,2864.4,2733.82,2873.02,2789.09,2759.91,5.6337,0.116577,0.381927,0.566711,0.240173,52.5,
25,10.1229,35,30,399.591,3.00753,50.6716,9.67907,2638.02,2587.3,2757.86,2659.77,2818.8,2829.81,2741.56,2653.11,4.3187,0.0434875,0.131073,0.166779,0.0828552,52.25,
